date_key,year,quarter,year_quarter,month,month_name,era
201901,2019,Q1,2019-Q1,1,Jan,Pre-Pandemic
201902,2019,Q1,2019-Q1,2,Feb,Pre-Pandemic
201903,2019,Q1,2019-Q1,3,Mar,Pre-Pandemic
201904,2019,Q2,2019-Q2,4,Apr,Pre-Pandemic
201905,2019,Q2,2019-Q2,5,May,Pre-Pandemic
201906,2019,Q2,2019-Q2,6,Jun,Pre-Pandemic
201907,2019,Q3,2019-Q3,7,Jul,Pre-Pandemic
201908,2019,Q3,2019-Q3,8,Aug,Pre-Pandemic
201909,2019,Q3,2019-Q3,9,Sep,Pre-Pandemic
201910,2019,Q4,2019-Q4,10,Oct,Pre-Pandemic
201911,2019,Q4,2019-Q4,11,Nov,Pre-Pandemic
201912,2019,Q4,2019-Q4,12,Dec,Pre-Pandemic
202001,2020,Q1,2020-Q1,1,Jan,Pandemic
202002,2020,Q1,2020-Q1,2,Feb,Pandemic
202003,2020,Q1,2020-Q1,3,Mar,Pandemic
202004,2020,Q2,2020-Q2,4,Apr,Pandemic
202005,2020,Q2,2020-Q2,5,May,Pandemic
202006,2020,Q2,2020-Q2,6,Jun,Pandemic
202007,2020,Q3,2020-Q3,7,Jul,Pandemic
202008,2020,Q3,2020-Q3,8,Aug,Pandemic
202009,2020,Q3,2020-Q3,9,Sep,Pandemic
202010,2020,Q4,2020-Q4,10,Oct,Pandemic
202011,2020,Q4,2020-Q4,11,Nov,Pandemic
202012,2020,Q4,2020-Q4,12,Dec,Pandemic
202101,2021,Q1,2021-Q1,1,Jan,Pandemic
202102,2021,Q1,2021-Q1,2,Feb,Pandemic
202103,2021,Q1,2021-Q1,3,Mar,Pandemic
202104,2021,Q2,2021-Q2,4,Apr,Pandemic
202105,2021,Q2,2021-Q2,5,May,Pandemic
202106,2021,Q2,2021-Q2,6,Jun,Pandemic
202107,2021,Q3,2021-Q3,7,Jul,Pandemic
202108,2021,Q3,2021-Q3,8,Aug,Pandemic
202109,2021,Q3,2021-Q3,9,Sep,Pandemic
202110,2021,Q4,2021-Q4,10,Oct,Pandemic
202111,2021,Q4,2021-Q4,11,Nov,Pandemic
202112,2021,Q4,2021-Q4,12,Dec,Pandemic
202201,2022,Q1,2022-Q1,1,Jan,Recovery
202202,2022,Q1,2022-Q1,2,Feb,Recovery
202203,2022,Q1,2022-Q1,3,Mar,Recovery
202204,2022,Q2,2022-Q2,4,Apr,Recovery
202205,2022,Q2,2022-Q2,5,May,Recovery
202206,2022,Q2,2022-Q2,6,Jun,Recovery
202207,2022,Q3,2022-Q3,7,Jul,Recovery
202208,2022,Q3,2022-Q3,8,Aug,Recovery
202209,2022,Q3,2022-Q3,9,Sep,Recovery
202210,2022,Q4,2022-Q4,10,Oct,Recovery
202211,2022,Q4,2022-Q4,11,Nov,Recovery
202212,2022,Q4,2022-Q4,12,Dec,Recovery
202301,2023,Q1,2023-Q1,1,Jan,Recovery
202302,2023,Q1,2023-Q1,2,Feb,Recovery
202303,2023,Q1,2023-Q1,3,Mar,Recovery
202304,2023,Q2,2023-Q2,4,Apr,Recovery
202305,2023,Q2,2023-Q2,5,May,Recovery
202306,2023,Q2,2023-Q2,6,Jun,Recovery
202307,2023,Q3,2023-Q3,7,Jul,Recovery
202308,2023,Q3,2023-Q3,8,Aug,Recovery
202309,2023,Q3,2023-Q3,9,Sep,Recovery
202310,2023,Q4,2023-Q4,10,Oct,Recovery
202311,2023,Q4,2023-Q4,11,Nov,Recovery
202312,2023,Q4,2023-Q4,12,Dec,Recovery
202401,2024,Q1,2024-Q1,1,Jan,Recovery
202402,2024,Q1,2024-Q1,2,Feb,Recovery
202403,2024,Q1,2024-Q1,3,Mar,Recovery
202404,2024,Q2,2024-Q2,4,Apr,Recovery
202405,2024,Q2,2024-Q2,5,May,Recovery
202406,2024,Q2,2024-Q2,6,Jun,Recovery
202407,2024,Q3,2024-Q3,7,Jul,Recovery
202408,2024,Q3,2024-Q3,8,Aug,Recovery
202409,2024,Q3,2024-Q3,9,Sep,Recovery
202410,2024,Q4,2024-Q4,10,Oct,Recovery
202411,2024,Q4,2024-Q4,11,Nov,Recovery
202412,2024,Q4,2024-Q4,12,Dec,Recovery
